GEO_ID,County,State,FIPS,RUCC,IRR,SVI,TotalPopulation,ZIRR,ZNegMedianIncome,ZNoInternet,ZNoCollege,ZNegMentalHealthProviders,Znonwhite,ZPoverty18-64,ZLackingCompletePlumbing,Z65+,ZLessThanHighSchool,ZNoVehicle,ZHousingcostBurden,ZratioPCP,Zunemployed,Zuninsured,ZLongCommute,Zdrinkingwaterviolations,ZNaturalDisasterRisk,Zfoodinsecurity,HeartDiseaseMortality,PreventableHospitalStays,PoororFairHealth,InfantMortality,PrematureMortality
0500000US08051,Gunnison,CO,8051,7,0.567036566,0.1222,17267,1.162847877,-1.724355363,-1.886408095,2.452614664,-0.539904043,-0.600305655,-0.259808019,-0.11388132,-1.426324942,-1.941032379,-1.086684338,1.807506913,-0.744637497,-1.117340311,-0.795245188,-1.144129504,-0.744471872,-0.838533521,-1.251361332,269.7,1032,0.111,,211.7030846
0500000US13137,Habersham,GA,13137,6,0.461266672,0.728,47475,-1.24412167,-0.725614218,-0.656561002,0.855418745,0.583858459,-0.022817763,-0.493812051,-0.391934943,-0.448523759,0.119886338,-1.335466932,0.294872438,-0.36396159,-0.646650077,1.811149807,0.32852975,-0.744471872,-0.344246018,-0.485480092,346.1,2749,0.183,6.155567991,447.8297768
0500000US48189,Hale,TX,48189,4,0.494141209,0.9332,31827,-0.496006988,0.366567432,0.050947115,0.87163265,0.141196756,0.782608062,-0.059233134,0.330819361,-1.471593516,0.155624813,-0.71932948,0.336139566,-0.226245296,0.769706346,2.458360259,-0.976581445,1.342122145,1.218737907,0.337133092,463.9,1579,0.242,,571.6666717
0500000US37083,Halifax,NC,37083,4,0.474951673,0.987,47848,-0.932696752,1.023289093,1.750732408,-0.119654763,0.014771062,2.214411112,1.043928733,1.059470928,0.213649039,0.381968487,1.563414604,1.961203114,-0.374634437,1.256236308,0.118840878,0.196254966,-0.744471872,1.298859323,0.819354614,379.9,4201,0.238,11.11398294,651.2378204
0500000US51083,Halifax,VA,51083,6,0.477842707,0.7684,33644,-0.866906466,0.66816411,1.936108388,0.39040007,0.249603727,0.952476976,-0.126091429,-0.036470859,1.019357255,-0.166021461,0.66719703,0.455406225,-0.180608616,-0.033240987,-0.585817032,0.381439663,-0.744471872,-0.058274195,-0.882603698,385.2,3888,0.207,,588.0577559
0500000US36041,Hamilton,NY,36041,8,0.569204975,0.1654,5118,1.212193628,-1.008829158,-0.858036905,0.560307697,0.575637841,-0.746897269,-1.028678411,3.849722019,2.628481757,-1.285827006,-1.098571748,-0.632475752,-0.194573199,0.278066174,-0.776725792,0.63717091,-0.744471872,-1.631119217,-1.024433557,320.7,2973,0.155,,312.4477384
0500000US46057,Hamlin,SD,46057,9,0.589522264,0.1336,6352,1.674547289,-2.221002714,-0.712378053,0.736987203,0.851840012,-0.75655223,-1.847692525,-1.104850371,-1.512537244,-0.225585585,-1.912351637,-1.260664229,1.249731525,-1.51376868,0.259780915,-0.394572399,-0.744471872,-0.440391716,-2.44273215,279.8,2785,0.115,,338.1879169
0500000US45049,Hampton,SC,45049,8,0.513752551,0.9621,18113,-0.049718341,1.194511587,0.18678489,0.301978858,0.279520695,2.001592234,0.22491462,-0.191352136,-0.32872622,0.620224987,1.731850377,0.290677253,-0.010688644,-0.787774415,0.149480981,1.377909697,-0.744471872,1.238460102,-0.996067585,415.1,3487,0.241,,715.2072541
0500000US13141,Hancock,GA,13141,9,0.540943201,0.9666,8387,0.569050035,2.035050636,3.461079515,0.506725275,0.683293153,2.777016075,2.481382075,-0.592582261,1.007689131,-0.058806036,1.969158107,3.298237759,2.17794793,0.78162044,0.686146217,1.898190511,-0.744471872,-1.486900669,0.223669205,434.7,2762,0.286,,733.3637453
0500000US23009,Hancock,ME,23009,8,0.499839641,0.2183,56701,-0.36632971,-1.066697595,-1.106126809,0.412401433,-1.250659445,-0.811269203,-0.861532674,-0.162764141,1.079552397,-1.309652656,-0.257053995,0.231158886,-0.822670163,-0.330455956,-0.663681943,0.32852975,1.342122145,0.922904988,-0.967701614,302,1894,0.123,,358.1568756
0500000US39063,Hancock,OH,39063,4,0.442371246,0.1604,74861,-1.674118474,-1.072569539,-1.335613622,0.131785806,-0.167843687,-0.648773328,-0.878247248,-1.100826408,-0.554524559,-0.463842084,-0.401408794,-0.710032652,-0.446752435,-0.488654776,-0.98140805,-1.320495882,1.342122145,0.996863218,-0.740773839,314.2,2418,0.148,5.807388288,394.2143323
