,GEO_ID,County,State,FIPS,Population,SDOH Score,RUCC,IRR,SVI,Premature Mortality,Infant Mortality,Preventable Hospital Stays,Heart Disease Mortality,Poor or Fair Health
235,0500000US42037,Columbia,PA,42037,64926.0,32.43042353056919,4,0.4681307937218014,0.2813,392.67955031,,2488.0,348.2,0.162
261,0500000US39033,Crawford,OH,39033,41522.0,32.483064261364724,4,0.4749750914164566,0.3856,536.14062474,,2341.0,432.6,0.18
533,0500000US40065,Jackson,OK,40065,24556.0,32.48417584726275,7,0.5214767828607046,0.6981,582.9147027,,2989.0,452.9,0.196
1020,0500000US26149,St. Joseph,MI,26149,60874.0,32.50936064970035,4,0.4690369168872787,0.5905,475.40934439,5.994971959,2464.0,362.2,0.174
653,0500000US41041,Lincoln,OR,41041,50813.0,32.55573059552057,5,0.5015306036958267,0.7165,434.04323162,,1893.0,265.1,0.149
875,0500000US17149,Pike,IL,17149,14484.0,32.56604432565949,9,0.5470412223418272,0.2771,470.86787121,,3362.0,316.0,0.165
255,0500000US20035,Cowley,KS,20035,34453.0,32.62205795808932,4,0.518080880352324,0.7871,509.43703458,,2180.0,404.4,0.171
97,0500000US40011,Blaine,OK,40011,8409.0,32.673391628682516,8,0.5583882311478817,0.7553,660.47949662,,2161.0,448.2,0.21
789,0500000US17137,Morgan,IL,17137,32209.0,32.6877914830247,4,0.4980034963498949,0.4935,444.86853997,,3411.0,395.4,0.169
485,0500000US51091,Highland,VA,51091,2301.0,32.72254253883333,8,0.609878046255971,0.1352,325.01257731,,1011.0,316.8,0.152
284,0500000US19051,Davis,IA,19051,9130.0,32.79319501821669,9,0.5734067305549082,0.4585,376.4497881,,1234.0,337.3,0.15
149,0500000US29033,Carroll,MO,29033,8423.0,32.80911987698693,8,0.5630452667461552,0.1378,427.53646076,,2556.0,407.7,0.183
22,0500000US51005,Alleghany,VA,51005,14835.0,32.83686655240897,6,0.544550964478773,0.3102,558.3905866,,4445.0,431.2,0.172
628,0500000US28081,Lee,MS,28081,82959.0,32.84321503735428,5,0.4585322239470991,0.7455,575.87585409,10.268762677,2715.0,412.7,0.184
927,0500000US18135,Randolph,IN,18135,24437.0,32.86768234053626,6,0.5063841697727534,0.5113,518.75456349,,3652.0,375.5,0.177
1126,0500000US19179,Wapello,IA,19179,35043.0,32.879718336458645,5,0.501178983952283,0.7852,477.21958334,,2912.0,473.6,0.163
486,0500000US30041,Hill,MT,30041,16068.0,32.89028525172473,7,0.5845899799897682,0.4419,517.90122825,,2236.0,509.7,0.167
203,0500000US19039,Clarke,IA,19039,9692.0,32.918474953680814,6,0.5559415253668232,0.8107,482.15877812,,2987.0,399.1,0.174
1137,0500000US21229,Washington,KY,21229,12061.0,32.91955673309296,8,0.543157825117906,0.4184,452.14896118,,2696.0,363.8,0.202
77,0500000US47003,Bedford,TN,47003,51950.0,32.95176679917519,4,0.4974995763188008,0.7261,570.94753207,9.0478242137,2445.0,500.0,0.205
659,0500000US29117,Livingston,MO,29117,14402.0,32.95410389283893,7,0.5439923105626249,0.3073,442.76351103,,2089.0,347.8,0.185
928,0500000US29175,Randolph,MO,29175,24622.0,33.05280424475402,6,0.5128466494081056,0.6268,561.38762383,,3839.0,386.7,0.195
355,0500000US48149,Fayette,TX,48149,24913.0,33.09384179269053,6,0.5386343838871326,0.5234,398.61503472,,2681.0,363.1,0.173
997,0500000US48417,Shackelford,TX,48417,3186.0,33.116332302029136,8,0.6105836507625405,0.3936,288.96504498,,3666.0,454.9,0.151
756,0500000US26113,Missaukee,MI,26113,15213.0,33.12499050790635,8,0.550405109202798,0.4757,387.25452439,,2306.0,403.4,0.169
226,0500000US01031,Coffee,AL,1031,54805.0,33.14484394012639,4,0.4970273751907994,0.6802,523.20773045,,3752.0,503.6,0.194
502,0500000US42061,Huntingdon,PA,42061,43281.0,33.201549852409165,6,0.5019833632025129,0.3481,383.72538895,9.1407678245,2714.0,310.3,0.168
664,0500000US21141,Logan,KY,21141,27877.0,33.262851367895344,6,0.5144739357272567,0.4671,510.81241807,9.5655639697,3571.0,470.5,0.22
761,0500000US08081,Moffat,CO,8081,13177.0,33.27966160340872,7,0.6153619990651322,0.8164,488.27483856,,2243.0,331.1,0.163
